,ID,Country,Date Start,Date end intended,Description of measure implemented,Implementing State/Province,Keywords,Target region,education_closure,outdoor_gatherings_banned,sports cancellation,compulsory isolation,international travel ban,business suspension,blanket isolation,blanket curfew,social distancing
1373,,South Africa,2020-03-15,,Prohibition of gatherings of more than 100 people.,,outdoor gatherings banned,,,1.0,,,,,,,
1379,,Austria,2020-03-10,,All outdoor events with more than 500 people and all indoor events with more than 100 people are canceled.,,outdoor gatherings banned,,,1.0,,,,,,,
1380,,Iceland,2020-03-16,,"At 11:00 on 13 March, it was announced at a press conference that universities and secondary schools would be closing as of Monday 16 March, on which day a ban on public gatherings of over 100 would be put in place",,outdoor gatherings banned,,,1.0,,,,,,,
1434,,Uganda,2020-03-20,2020-04-21,"Public gatherings including worship, pubs, weddings, music shows, rallies and cultural meetings have been suspended for 32 days with immediate effect.",,"cultural activity limitation, indoor gatherings banned, outdoor gatherings banned, religious activity limitations, restaurant limitations",,,1.0,,,,,,,
1442,,US:Alabama,2020-03-18,,statewide health order prohibited all non-work related gatherings of 25+ persons or any non-work related gatherings that cannot maintain consistent six-foot spacing between people,,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1470,,Bosnia and Herzegovina,2020-03-22,,"Since 22 March 2020, it is prohibited in Brčko District to gather and move in public places and open or closed public areas in a group of three or more persons throughout the day,",Brčko District,outdoor gatherings banned,,,1.0,,,,,,,
1475,,Ireland,2020-03-27,2020-04-12,All public or private gatherings of any number of people outside a residence are prohibited.,,outdoor gatherings banned,,,1.0,,,,,,,
1495,,Estonia,2020-03-24,,up to two people are allowed to gather in public space,,outdoor gatherings banned,,,1.0,,,,,,,
1504,,Iceland,2020-03-21,,"On 21 March, a stricter ban on public assemblies was put in place in Vestmannaeyjar. Assemblies there with more than 10 persons would now be prohibited.",,outdoor gatherings banned,,,1.0,,,,,,,
1506,,Iceland,2020-03-24,,"From 00:00 on 24 March, a nation-wide ban on public assemblies over 20 took effect.",,outdoor gatherings banned,,,1.0,,,,,,,
1512,,Belgium,2020-03-17,,"gatherings banned,",,outdoor gatherings banned,,,1.0,,,,,,,
1517,,Czechia,2020-03-24,,"From 24 March 2020 at 06.00, it is possible to stay in publicly accessible places for a maximum of two persons, with the exception of household members, occupation, business or other similar activity or participation in a funeral. ",,outdoor gatherings banned,,,1.0,,,,,,,
1541,,US: Massachussets,2020-04-15,,gatherings banned (25 people),,"indoor gatherings banned, outdoor gatherings banned, social distancing",,,1.0,,,,,,,
1551,,US:Arkansas,2020-03-26,,Gatherings of more than 10 people both indoor and outdoor are prohibited,,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1561,,US:Colorado,2020-03-17,,banned gatherings of more than 50 people,,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1562,,US:Colorado,2020-03-18,,banned gatherings of more than 10 people,,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1611,,Brazil,2020-03-20,,"This means that the whole of Brazil must unite against the virus. In practical terms, the declaration is a command from the Ministry of Health for all national managers to adopt measures to promote social distance and avoid agglomerations, known as non-pharmacological measures, that is, that do not involve the use of medicines or vaccines.",,"outdoor gatherings banned, social distancing advice",,,1.0,,,,,,,
1637,,US:Hawaii,2020-03-25,2020-04-30,gathering of more than 10 people is prohibited,,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1646,,US:Iowa,2020-03-17,,"Social, community, spiritual, religious, recreational, leisure, and sporting gatherings and events of more than 10 people are hereby prohibited",,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1663,,US:Kentucky,2020-03-19,,all mass gatherings prohibited (without specifying a number of people),,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1668,,US:Louisiana,2020-03-23,,gatherings of 10 people or more banned,,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1684,,US: Rhode Island,2020-03-17,,crowds of 25 or more people banned,,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1685,,US: Rhode Island,2020-03-28,,"Gatherings in the state are further restricted, with any gathering of over five people banned",,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1694,,US:Louisiana,2020-03-17,,all gatherings of 50 people or more postponed or cancelled,,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
1699,,US:Louisiana,2020-03-13,,all gatherings of 250 people or more postponed or cancelled,,"indoor gatherings banned, outdoor gatherings banned",,,1.0,,,,,,,
93,,Israel,2020-03-15,,"Venues required to close: malls, restaurants, hotel dining rooms, pubs, dance clubs, gyms, pools, beaches, water and amusement parks, zoos and petting zoos, bathhouses and ritual baths for men, beauty and massage salons, event and conference venues, public boats and cable cars, and heritage sites. Take-away restaurants, supermarkets and pharmacies were to remain open",,"general nonessential business suspension, sports cancellation",,,,1.0,,,,,,
125,,Hong Kong,2020-03-23,,The Hong Kong Football Association has announced that it will suspend its Hong Kong Premier League fixtures for three weeks because of the recent increase of Covid-19 infection cases in the city.,,sports cancellation,,,,1.0,,,,,,
220,80,Italy,2020-03-08,2020-04-04,"stop sport activities (gyms, swimming pools, thermal centers)",,sports cancellation,,,,1.0,,,,,,
312,189,Spain,2020-03-11,,the 2020 Copa del Rey Final – the national football cup final due to be held in Seville on 18 April between two teams from the Basque Country – was postponed,,"sports cancellation, very large event cancellation or postponement",,,,1.0,,,,,,
314,191,Spain,2020-03-12,,"Real Madrid CF's Champions League match against Manchester City F.C. being postponed, due to the Real Madrid players being put into quarantine",,"sports cancellation, very large event cancellation or postponement",,,,1.0,,,,,,
315,190,Spain,2020-03-12,2020-03-26,the Liga de Fútbol Profesional announced that La Liga and the Segunda División (the top two leagues of football in Spain) had been suspended for at least 14 days,,"sports cancellation, very large event cancellation or postponement",,,,1.0,,,,,,
322,196,France,2020-02-29,,"the Paris half marathon scheduled for Sunday 1 March with 44,000 participants was cancelled",,"sports cancellation, very large event cancellation or postponement",,,,1.0,,,,,,
323,198,France,2020-03-13,,the Ligue de Football Professionnel suspended Ligue 1 and Ligue 2 (the top two divisions of football in France),,"sports cancellation, very large event cancellation or postponement",,,,1.0,,,,,,
372,243,Estonia,2020-03-13,,"All public gatherings were banned, including sports and culture events;",,"outdoor gatherings banned, sports cancellation",,,1.0,1.0,,,,,,
388,269,Hungary,2020-03-17,,The Hungarian Football Federation (MLSZ) postponed all football matches,,"sports cancellation, very large event cancellation or postponement",,,,1.0,,,,,,
405,281,Hungary,2020-03-16,,Budapest Zoo and Botanical Garden as well as every thermal baths will remain closed from 16th March,,"limited nonessential business suspension, sports cancellation",,,,1.0,,,,,,
417,306,Greece,2020-03-09,,all sports games were to be played with no fans attending,,"social distancing, sports cancellation",,,,1.0,,,,,,
434,316,Greece,2020-03-12,2020-03-26,"On 12 March, a two-week closure of all theatres, courthouses, cinemas, gyms, playgrounds and clubs was announced.",,"limited nonessential business suspension, sports cancellation",,,,1.0,,,,,,
445,318,Greece,2020-03-14,,"On 14 March, all organized beaches and ski resorts were closed.",,sports cancellation,,,,1.0,,,,,,
466,351,Ireland,2020-03-09,,"Many sporting events, including Ireland's final two rugby Six Nations fixtures against Italy and France, Gaelic Athletic Association and League of Ireland games, were postponed or cancelled altogether.",,sports cancellation,,,,1.0,,,,,,
470,361,Ireland,2020-03-12,,has recommended indoor gatherings of more than 100 people and outdoor gatherings of more than 500 people to be cancelled.,,"outdoor gatherings banned, sports cancellation",,,1.0,1.0,,,,,,
482,377,Turkey,2020-03-16,2020-04-30,Sports matches without spectators.,,sports cancellation,,,,1.0,,,,,,
489,386,Portugal,2020-03-14,,"The National Maritime Authority has banned beaches across the country and groups, banning all sports and leisure activities involving more than five people.",,sports cancellation,,,,1.0,,,,,,
492,388,Ukraine,2020-03-17,,"All mass gatherings (cultural, entertainment, sports, social, religious, advertising and other) involving more than ten people are prohibited",,"cultural activity limitation, outdoor gatherings banned, religious activity cancellation, social distancing, sports cancellation",,,1.0,1.0,,,,,,
516,408,Slovakia,2020-03-16,,"Sports, cultural and public events, including religious services, have been banned for the whole territory of Slovakia",,"cultural activity limitation, religious activity cancellation, sports cancellation, visiting in hospital banned",,,,1.0,,,,,,
595,581,Russia,2020-03-17,2020-04-10,"All football, hockey and basketball games are suspended.",,sports cancellation,,,,1.0,,,,,,
676,696,Italy,2020-02-22,,"On 22 February 2020, Prime Minister Giuseppe Conte suspended all sporting events in the regions of Lombardy and Veneto, which included three Serie A football matches in those regions, as well as one in Piedmont, that were to be played the following day.[166][167][168] The following week, six Serie A matches were initially to be played behind closed doors, but all were later suspended,[169][170][171] as were two Coppa Italia matches.",,sports cancellation,"Lombardy, Veneto",,,1.0,,,,,,
718,720,Italy,2020-02-25,,"The Italian Basketball Federation suspended all of its championship games, including Lega Basket Serie A.",,sports cancellation,,,,1.0,,,,,,
726,,US: S Carolina,2020-03-16,,The South Carolina High School League (SCHSL) suspends all spring sport,,sports cancellation,,,,1.0,,,,,,
773,743,Italy,2020-03-04,2020-04-03,"The same day, the government ruled that all sporting events in Italy would be played behind closed doors until 3 April.",,sports cancellation,,,,1.0,,,,,,
776,756,Italy,2020-03-20,,"On 20 March, the Ministry of Health ordered tighter regulations on free movement. The new measures banned open-air sports and running, except individually and in close proximity of one's residence. Parks, playgrounds and public green were closed down. Furthermore, movement across the country was further restricted, by banning ""any movement towards a residence different from the main one"", including holiday homes, during weekends and holidays",,"blanket isolation - no symptoms, compulsory isolation, domestic travel ban, outdoor gatherings banned, public green closure, sports cancellation",,,1.0,1.0,,,,,,
780,752,Italy,2020-03-09,2020-04-03,"On 9 March, the government announced that all sporting events in Italy would be cancelled until at least 3 April, but the ban does not include Italian clubs or national teams participating in international competitions. In the evening, Conte announced in a press conference that all measures previously applied only in the so-called ""red zones"" had been extended to the whole country, putting approximately 60 million people in lockdown. Conte later proceeded to officially sign the new executive decree.",,sports cancellation,,,,1.0,,,,,,
788,747,Italy,2020-03-07,,"The decree also established the closure of all gyms, swimming pools, spas and wellness centres.",,sports cancellation,,,,1.0,,,,,,
791,768,Albania,2020-03-08,,"ordered cancellation of all large public gatherings, and asked sports federations to cancel scheduled matches",,"outdoor gatherings banned, sports cancellation",,,1.0,1.0,,,,,,
813,787,Albania,2020-03-12,,gyms and government offices with public-facing counters,,sports cancellation,,,,1.0,,,,,,
838,,US: S Carolina,2020-03-12,,South Carolina Science Olympiad announces its decision to cancel its state championship tournaments for both divisions,,sports cancellation,,,,1.0,,,,,,
839,,US: S Carolina,2020-03-12,2020-04-03,The South Carolina Independent School Association (SCISA) announces that it will be suspending all athletics,,sports cancellation,,,,1.0,,,,,,
843,,US: Florida,2020-03-16,,"On March 16, MLB announced that the season will be postponed indefinitely",,sports cancellation,,,,1.0,,,,,,
844,,US: Florida,2020-03-12,,Several leagues began postponing or suspending their seasons,,sports cancellation,,,,1.0,,,,,,
847,813,Mexico,2020-03-13,,Several major sporting and cultural events canceled or postponed,,sports cancellation,,,,1.0,,,,,,
848,814,Mexico,2020-03-14,,All sporting and civic events in schools canceled,,sports cancellation,,,,1.0,,,,,,
853,819,Mexico,2020-03-15,,Soccer Liga MX suspended,,sports cancellation,,,,1.0,,,,,,
905,,US:N Carolina,2020-03-12,,Several leagues began postponing or suspending their seasons starting March 12,,sports cancellation,,,,1.0,,,,,,
913,,US:Georgia,2020-03-20,,Several leagues began postponing or suspending their seasons,,sports cancellation,,,,1.0,,,,,,
918,843,Croatia,2020-03-11,2020-03-31,"Croatian Football Federation (HNS) on 11 March ordered that all Prva HNL matches would be played behind closed doors until 31 March. The measure applied to all competitions under HNS, as well as all UEFA qualifying matches hosted by Croatia",,sports cancellation,,,,1.0,,,,,,
919,844,Croatia,2020-03-11,,The same day HNS announced that Croatia national football team would not play its friendly games against Switzerland and Portugal scheduled for 26 and 30 March in Doha due to the virus pandemic in Qatar.,,sports cancellation,,,,1.0,,,,,,
920,846,Croatia,2020-03-13,,"On 13 March, HNS agreed with the national team manager Zlatko Dalić not to play any matches during the March international break.[40] The same day Wings for Life World Run, set to be held in Zadar, was cancelled.",,sports cancellation,,,,1.0,,,,,,
921,845,Croatia,2020-03-12,2020-03-31,"On 12 March, HNS decided to suspend all competitions until 31 March.",,"sports cancellation, very large event cancellation or postponement",,,,1.0,,,,,,
938,858,Denmark,2020-03-06,,"Among others, football (including the Danish Superliga) and handball matches were without spectators or entirely cancelled, the Dansk Melodi Grand Prix did not have an audience, concerts and conferences were cancelled or postponed, and the Euroschoolsport tournament at Esbjerg High School where students and teachers from much of Europe were supposed to meet was cancelled",,sports cancellation,,,,1.0,,,,,,
986,,US:Delaware,2020-03-16,,National Junior College Athletic Association also canceled the remainder of the winter seasons as well as the spring seasons,,sports cancellation,,,,1.0,,,,,,
989,,US:Delaware,2020-03-12,,the National Collegiate Athletic Association cancelled all winter and spring tournaments,,sports cancellation,,,,1.0,,,,,,
1002,,US: Virginia,2020-03-12,,the National Collegiate Athletic Association cancelled all winter and spring tournaments,,sports cancellation,,,,1.0,,,,,,
1003,,US: Virginia,2020-03-16,,the National Junior College Athletic Association also canceled the remainder of the winter seasons as well as the spring seasons,,sports cancellation,,,,1.0,,,,,,
1041,,US:Maryland,2020-03-12,,the Alhambra Catholic Invitational Tournament for basketball scheduled to be held at Frostburg State University was cancelled,,sports cancellation,,,,1.0,,,,,,
1105,,Afghanistan,2020-03-18,,"On 18 March, the Ministry of Interior Affairs banned all large gatherings, including the closure of venues that attract large crowds such as entertainment places, sports grounds, swimming pools, fitness clubs and wedding halls.",,"social distancing, sports cancellation, weddings canceled",,,,1.0,,,,,,
1286,,Nepal,2020-03-14,2020-04-30,"cancelled all mountain climbing expeditions including on Mount Everest, to be enforced from 14 March to 30 April",,"sports cancellation, very large event cancellation or postponement",,,,1.0,,,,,,
1305,,Nepal,2020-03-20,,A notice from Nepal Tourism Board announced the suspension of issuance of trekking permits for tourists.,,sports cancellation,,,,1.0,,,,,,
1471,,Bosnia and Herzegovina,2020-03-21,,"From 21 March, most of the sports activities were canceled across the entire country, including all football matches in all categories",,sports cancellation,,,,1.0,,,,,,
1480,,Slovakia,2020-03-10,,"On 10 March, Slovakia suspended all sports events for two weeks, 17 days before the Republic of Ireland were due to play the country's football team in Bratislava in their UEFA Euro 2020 play-off.",,sports cancellation,,,,1.0,,,,,,
1498,,Estonia,2020-03-14,,"Operating bans were extended to recreation and leisure establishments, ordering sports halls and clubs, gyms, pools, aqua centers, saunas, daycares, and children's playrooms to be closed immediately",,sports cancellation,,,,1.0,,,,,,
1507,,Iceland,2020-03-24,,"All swimming pools, museums, libraries and bars closed,",,sports cancellation,,,,1.0,,,,,,
1558,,US:Colorado,2020-03-14,2020-04-06,executive order to close downhill ski areas for a week (later prolonged),,sports cancellation,,,,1.0,,,,,,
63,,Sweden,2020-03-18,,High schools and universities told to  stop in-person classes ,,"compulsory isolation, school closure, university closure",,1.0,,,1.0,,,,,
67,418,Sweden,2020-03-11,,"The Swedish government passed a new law, temporarily banning all gatherings larger than 500 people, with threat of fine and prison.",,"compulsory isolation, outdoor gatherings banned",,,1.0,,1.0,,,,,
82,,Slovenia,2020-03-20,,"Slovenia enforced a ban on all kinds of public gatherings from midnight on Friday (20 March), with only essential trips outside allowed, including work or going to the nearest shop, pharmacy or doctor. Violations will entail a 400 euro fine",,"blanket curfew - no symptoms, compulsory isolation",,,,,1.0,,,,,
109,,Hong Kong,2020-03-28,,Officers had been put under quarantine after they were classified as close contacts of a policewoman who was confirmed with the coronavirus infection recently. They have been sent to quarantine centres in Fo Tan and Lei Yue Mun.,,"compulsory isolation, contact isolation - no symptoms, quarantine zone",,,,,1.0,,,,,
110,,Hong Kong,2020-03-30,,"Three people who broke their quarantine conditions were jailed on Monday. 
Wong breached the quarantine order because he was bored staying indoors and hewas sentenced of six weeks in jail. 
Xie was sentenced to ten days in prison after he was caught trying to cross the border back to the mainland at the Shenzhen Bay crossing. 
A 31-year-old man was jailed for three months for giving a fake address when ordered to self-quarantine after returning from the mainland.",,"compulsory isolation, quaratine violation, sentence",,,,,1.0,,,,,
111,,Hong Kong,2020-03-27,,"Two medical staff had to be placed in quarantine after a patient they had attended, a 22-year-old policewoman  subsequently tested positive for the new coronavirus and refused to wear face mask.",,"compulsory isolation, contact isolation - no symptoms",,,,,1.0,,,,,
119,,Hong Kong,2020-03-25,2020-04-08,"- Hong Kong is to close its borders to many non-residents of the city for 14 days from Wednesday.
Non-residents arriving from the mainland, Macau or Taiwan will still be allowed in, as long as they hadn't been anywhere else in the world in the past 14 days. This applies to citizens as well as foreigners. But those coming from Macau and Taiwan will also have to go into quarantine for 14 days – a rule that had already been imposed on arrivals from everywhere else, including the mainland. In addition, Macau residents who have been in other countries over the past 14 days will still be allowed to fly into Hong Kong airport, but will be taken straight to their home city by coach.
",,"compulsory isolation, international travel ban - all countries, international traveller quarantine - all countries",,,,,1.0,,,,,
120,,Hong Kong,2020-02-08,,Visitors must isolate themselves in hotel rooms or government-run centres. Residents must stay inside their homes. Anyone caught flouting the new rules faces a fine and a prison sentence.,,"compulsory isolation, confirmed case isolation, quarantine zone",,,,,1.0,,,,,
136,604,Hong Kong,2020-03-20,,"- Hong Kong will put all visitors, regerdless of whether they are Hong Kong residents, under a two-week quarantine and medical surveillance starting midnight on March 19
",,"compulsory isolation, international traveller quarantine - all countries",,,,,1.0,,,,,
142,,Taiwan,2020-03-23,,"A man, who was supposed to be doing 14 days mandatory self-isolation at home after returning from Southeast Asia, was fined TW$1 million for going clubbing ",,compulsory isolation,,,,,1.0,,,,,
151,6,China,2019-12-25,,Medical staff in two Wuhan hospitals were suspected of contracting the virus; first reports of isolation being used,Hubei,"compulsory isolation, confirmed case isolation",,,,,1.0,,,,,
162,26,China,2020-02-01,,"Huanggang implements a much stricter control, allowing only one person from each household every two days to be on the street for purchases, unless for medically-related reasons, required for epidemic control, or as shop workers.",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
173,37,China,2020-02-02,2020-02-08,"Wenzhou, Zhejiang announces implementing the same measure as Huanggang, where every household may send one person every two days outside for purchases, from 00:00 on 2 February to 24:00 on 8 February.",Zheijang,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
177,41,China,2020-02-02,,"With immediate effect, Wuhan's government announced the quarantining of ""all suspected patients and those known to have been in close contact with a confirmed case."" It stated ""Patients shall cooperate. Whoever refuses to cooperate will be subject to enforcement by the police.""",Hubei,"compulsory isolation, contact isolation - no symptoms",,,,,1.0,,,,,
215,74,China,2020-02-13,,"Wuhan enacts a new rule prohibiting people from leaving their neighbourhoods for non-medical reasons, updating the curfew to a full lockdown",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
216,75,China,2020-02-14,,Beijing required all persons returning to the city to self-quarantine for 14 days.,,"compulsory isolation, domestic traveller quarantine",,,,,1.0,,,,,
233,93,China,2020-02-15,,"Jingmen, Hubei escalated control, prohibiting outside vehicles and persons from entering its central districts except for medical and living supplies,",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
236,96,China,2020-02-16,,"Hubei implements ""hard quarantine"" in units of natural villages; no outsiders are to be allowed in and each household is allowed one person every three days to go out for provisions and urgent agricultural material, on designated routes and in limited time.",Hubei,"compulsory isolation, natural village quarantine",,,,,1.0,,,,,
242,102,China,2020-02-17,,"Following its announcement the previous night, Xiaogan now bans all its urban residents from leaving home, all its rural residents from wandering, visiting neighbours, and gathering, and all vehicles from roads. Exceptions are made for medical reasons, medical staff, providers of medical and living provision, pregnancies, deaths, essential vehicles, and others granted permissions. Violators would be subject to up to 10 days of detention and put on the dishonest list.",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
258,118,China,2020-02-22,,Wuhan requires a 14-day quarantine for patients discharged from COVID-19.,Hubei,"compulsory isolation, confirmed case isolation, discharged patient isolation",,,,,1.0,,,,,
259,119,China,2020-02-25,,"In response the epidemic situation in South Korea and an apparent significant surge of demand for flight tickets from South Korea to Shandong cities, Qingdao will now quarantine all persons entering with a travel history of areas with the epidemic,[692] Weihai will now quarantine all persons entering from Japan and South Korea for 14 days,[693] Shenyang will now test the temperature of all passengers entering from the city,[694] and Dalian will now include all foreigners into its epidemic control mechanism.","Liaoning, Shandong","compulsory isolation, international traveller quarantine - risk countries",,,,,1.0,,,,,
263,122,China,2020-02-25,,Beijing required foreign travellers arriving from areas affected by COVID-19 to be quarantined for 14 days.,,"compulsory isolation, international traveller quarantine - risk countries",,,,,1.0,,,,,
391,266,France,2020-03-17,2020-03-31,"President Emmanuel Macron commanded the French to stay at home for at least 15 days. Only trips to supermarkets, pharmacies and places of work will be allowed and all workers have been told to work from home where possible.",,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
473,365,Ireland,2020-03-15,2020-03-29,"The official statement cited difficulty in maintaining social distancing in bars and pubs. All pubs and nightclubs in Temple Bar, a hot-spot of Dublin's nightlife, announced that they would comply in response. Taoiseach Leo Varadkar stated that he ""may seek enforcement powers from Dáil/Seanad"" in order to compel pubs and bars to close.",,"compulsory isolation, social distancing",,,,,1.0,,,,,
665,689,Italy,2020-02-22,,"On 22 February, the government announced a new decree imposing the quarantine of more than 50,000 people from 11 different municipalities in Northern Italy. The quarantine zones are called the Red Zones and the areas in Lombardy and Veneto outside of them are called the Yellow Zones.[150] Penalties for violations range from a €206 fine to three months of imprisonment.[151] The Italian military and law enforcement agencies were instructed to secure and implement the lockdown.",,"cluster isolation - no symptoms, compulsory isolation","Lombardy, Veneto",,,,1.0,,,,,
706,705,Italy,2020-02-24,,"On 24 February, 500 additional police officers were assigned to patrol the quarantined areas in Lodi and Veneto",,"cluster isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
776,756,Italy,2020-03-20,,"On 20 March, the Ministry of Health ordered tighter regulations on free movement. The new measures banned open-air sports and running, except individually and in close proximity of one's residence. Parks, playgrounds and public green were closed down. Furthermore, movement across the country was further restricted, by banning ""any movement towards a residence different from the main one"", including holiday homes, during weekends and holidays",,"blanket isolation - no symptoms, compulsory isolation, domestic travel ban, outdoor gatherings banned, public green closure, sports cancellation",,,1.0,1.0,1.0,,,,,
804,783,Albania,2020-03-12,,"the police and the army mobilized and set up a total of 70 checkpoints on that day, spread throughout the country to make sure people are complying with self-quarantine requirements. At checkpoints, names are checked against a database of who has been in Italy or Greece since 27 February. Police in some parts of the country, including Fier, began stopping cars with foreign license plates.",,compulsory isolation,,,,,1.0,,,,,
821,799,Albania,2020-03-16,,"Television stations were banned from having more than two people in the same room for a talk show, on the pain of a 1 million lek fine (8300 euros). Private hospitals that refuse to offer capacities were to be fined up to 5 million lek (40000 euros). Any trade in food or medicine that did not comply with the specified government safety regulations to combat infections risked a fine of up to 10 million lek (83000 euros). The legislation, called a ""normative act"", is an emergency law taking effect without prior approval by parliament.[25] Furthermore, a national curfew was imposed: each day, all citizens were required to return to stay in their homes from 18:00 onward, as well as a ban on sitting in public places. Those found in violation will be fined",,compulsory isolation,,,,,1.0,,,,,
940,861,Denmark,2020-03-18,2020-04-13,"Starting 18 March at 10 AM, a number of further restrictions were activated: It became illegal to assemble more than ten people in public, Unlike previous restrictions on the number of people allowed to assemble, the new restrictions are not merely a recommendation, and breaking the new restrictions is associated with fines of DKK 1500",,"compulsory isolation, outdoor gatherings banned",,,1.0,,1.0,,,,,
948,,Singapore,2020-03-20,,All  short-term visitors issued 14-day SHN,,"compulsory isolation, international traveller quarantine - all countries",,,,,1.0,,,,,
949,,Singapore,2020-03-13,,Travellers entering SG with symptoms are tested and issued 14-day SHN,,"compulsory isolation, international traveller quarantine - risk countries",,,,,1.0,,,,,
967,,Singapore,2020-02-17,,Stay-home notice (SHN) introduced,,compulsory isolation,,,,,1.0,,,,,
1060,,China,2020-02-02,2020-02-08,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Guangxi,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
1061,,China,2020-02-03,2020-02-09,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Shaanxi,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
1062,,China,2020-02-03,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Shandong,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
1063,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Hubei,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
1064,,China,2020-02-03,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Zheijang,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
1065,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Fujian,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
1066,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Henan,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
1067,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Jiangsu,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
1068,,China,2020-02-04,2020-02-06,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Jiangxi,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
1069,,China,2020-02-04,,"On 1 February Huanggang, Hubei implemented a measure whereby only one person from each household is permitted to go outside for provisions once every two days, except for medical reasons or to work at shops or pharmacies. Many cities, districts, and counties across mainland China implemented similar measures in the days following, including Wenzhou, Hangzhou, Fuzhou, Harbin, and the whole of Jiangxi Province.",Heilongjiang,"blanket isolation - no symptoms, compulsory isolation",,,,,1.0,,,,,
